Frame,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
10,-0.058704833,0.045569916,-0.026800923,-0.085941126,0.066171136,-0.03871221,-0.113177419,0.086772356,-0.050623498,-0.138560439,0.103868323,-0.059663625,-0.042731536,0.093493668,-0.060138313,0.088242449,0.057897188,-0.06041196,-0.053977832,-0.02979711,-0.018513131,-0.196540838,-0.040732159,-0.059976568,-0.183928289,-0.074812474,-0.060829612,-0.167232029,-0.200254006,-0.08102197,0.024710647,-0.049440075,-0.030600458,0.103311638,-0.118474153,-0.039697674,-0.044285676,-0.028073346,-0.100576731,-0.136187822,-0.025037804,-0.108843571,-0.124089464,0.038897866,0.029611772,-0.020405893,-0.183274426,0.009498631,0.010084991,-0.039587039,0.00767883,0.003051764,-0.040110013,0.007677945,-0.042201115,-0.074415934,0.003766261,0.074918733,-0.034686958,-0.017467947,0.057095002,-0.009757956,-0.029279798,0.05359608,-0.011816375,-0.029252584
11,-0.041550992,-0.018556485,-0.03462965,-0.061130432,-0.026436901,-0.05002183,-0.080709872,-0.034317317,-0.06541401,-0.099299751,-0.038921811,-0.076996837,-0.044805594,0.066023182,-0.113433313,0.012558479,0.240093215,-0.17988034,-0.110308774,-0.067558641,-0.013312832,-0.20016134,-0.023979768,-0.007692759,-0.23917391,-0.022240637,0.025350831,-0.194538929,-0.111450627,-0.016126645,-0.05886782,-0.061224046,0.017692608,0.056148414,-0.115611181,-0.05078418,0.03338761,-0.033938855,-0.071736849,-0.113443707,-0.015111258,-0.066734332,-0.052399595,0.049229528,0.00957027,-0.096908065,-0.08697946,-0.030053208,0.015878134,-0.006898865,0.018694111,0.009205575,-0.007596566,0.01869901,0.002241159,-0.200922231,0.002673524,-0.008695978,-0.019514584,-0.019379421,0.033324992,-0.010222515,-0.008922561,0.02992925,-0.012302652,-0.008910182
12,-0.084121449,0.007572745,-0.017083581,-0.126148495,0.017685483,-0.02081125,-0.168175542,0.027798221,-0.024538919,-0.242151456,-0.068132463,-0.084871358,-0.172869736,0.000692239,-0.117965605,-0.281642297,-0.013519359,-0.245851093,-0.074720682,-0.024240385,0.052581111,-0.156056723,-0.037250964,-0.017250655,-0.211463971,-0.076877954,0.006954162,-0.263281262,-0.112304717,0.060886847,-0.099181503,-0.019778117,0.0472516,-0.094372307,-0.056686686,0.042518668,-0.040955558,-0.040971697,-0.033041561,-0.061762054,-0.009977241,-0.04271961,0.15317567,-0.009115432,0.020060295,-0.144140414,0.034571821,0.038202146,-0.060952239,-0.066813064,0.070442577,-0.054685478,-0.053829314,0.018772973,0.039625374,-0.193930305,0.029334278,-0.064320914,-0.06396483,0.066761059,-0.005169992,0.000541593,0.050773363,-0.0102686,-0.010030311,0.054356382
13,-0.07145597,-0.076988769,-0.032649019,-0.104306734,-0.110873115,-0.047160654,-0.137157498,-0.144757461,-0.061672288,-0.161996393,-0.167907296,-0.07252507,-0.211239531,-0.142819194,-0.093874724,-0.335081279,-0.123956075,-0.134472143,-0.135747958,0.034319682,-0.007112608,-0.114475234,0.036712553,-0.1040521,-0.153496714,-0.082468556,-0.04661431,-0.268479274,-0.049705267,0.007279778,-0.111709653,0.023074621,0.112408189,-0.148294266,0.034421519,0.069565553,-0.134268665,-0.019847407,-0.037847382,-0.022341174,0.000680634,-0.049703166,0.005067228,-0.082764414,0.027849937,-0.041650493,0.069367579,0.000382153,0.023081547,0.019431772,0.085861885,0.018088757,0.01851747,0.085882303,0.066803811,0.066540733,-0.00601119,-0.096132086,0.00636196,0.059465109,-0.005608347,-0.023356076,0.054899731,-0.008390575,-0.025841296,0.054909178
14,0.111340323,0.192271088,0.19182806,0.159818101,0.278288041,0.277089368,0.208295879,0.364304995,0.362350676,0.233560983,0.431161738,0.426436401,0.110735071,0.249376627,0.262505399,-0.170398977,-0.120192376,-0.04262955,-0.094298031,0.070323429,-0.008330027,-0.005720534,0.054675978,-0.103015369,-0.040640747,0.025166004,-0.059464917,-0.184664757,0.024470256,0.0185679,-0.051393094,0.026500718,0.090998816,-0.169370039,-0.015270568,0.123075235,-0.233698346,0.087952221,0.012383145,-0.049194624,0.090873521,-0.025396218,-0.081858599,0.082957869,0.1141516,-0.021370523,0.11026541,0.074449805,0.02691989,0.034113728,0.138215743,0.022866193,0.032759242,0.138216528,0.069444248,0.026657052,0.010847627,-0.062892636,0.098420277,0.075080337,0.043437002,0.090512872,0.066860835,0.041261187,0.088470349,0.066869858
15,0.126154451,0.005635102,0.039547971,0.179240847,0.035740676,0.064020592,0.232327243,0.06584625,0.088493213,0.369640816,0.398188468,0.202458579,0.069515002,-0.065821285,0.050216259,-0.267252424,-0.357170303,-0.06417309,-0.075800599,-0.094730875,-0.046426339,-0.096502034,-0.040625251,-0.056588929,-0.129504054,-0.11484546,-0.043854649,-0.110049985,-0.070060552,-0.014397408,-0.010286902,-0.028394639,-0.061583417,-0.038835263,-0.120335271,-0.028957682,-0.180410821,-0.081087075,-0.065106924,-0.107295365,-0.015851402,-0.116549226,-0.024587583,-0.131988651,0.030911593,0.071618088,-0.12809741,0.039175998,0.032485362,-0.050358775,-0.008569498,0.030299597,-0.061201611,0.009396738,0.068019089,-0.198035391,-0.027280741,-0.031785074,-0.065203749,-0.001520323,0.044710224,-0.067581342,0.021102147,0.039487149,-0.079390919,0.038641078
16,-0.254736313,-0.285698292,-0.133011662,-0.369034926,-0.412421961,-0.192120764,-0.483333539,-0.53914563,-0.251229865,-0.582324828,-0.63209851,-0.295968254,-0.442341312,-0.517928949,-0.23744181,-0.240927526,-0.33811831,-0.131443602,-0.193513093,-0.101009056,0.050036542,-0.29370003,-0.143816802,-0.045080388,-0.184739433,-0.1085743,-0.021118109,-0.150009786,-0.156368429,-0.022601151,-0.096904838,-0.092433686,-0.062495548,0.055531552,-0.171100253,-0.121979989,-0.13699152,-0.151799461,-0.127819335,-0.242347519,-0.067137733,-0.119038593,-0.025101863,-0.10744066,0.027062024,-0.044512131,-0.068297755,-0.002595068,-0.032586912,-0.13538817,0.046520547,-0.037167288,-0.137041369,0.046512264,-0.115056866,-0.058648727,0.003579046,-0.165872442,-0.156932235,0.038153662,0.009127369,-0.095039802,0.07745186,0.008018929,-0.097539415,0.077461935
17,-0.057207874,0.074300608,-0.03377386,-0.084054025,0.107653658,-0.048773137,-0.110900176,0.141006709,-0.063772413,-0.140266221,0.166984065,-0.075128257,-0.158138197,0.129805093,-0.069055383,-0.246301386,0.023691802,-0.058423636,-0.12725635,0.037636565,0.097590956,-0.181533787,0.044845665,0.069314203,-0.117425739,0.114165212,0.047384982,-0.09652984,0.076950751,-3.82703E-06,-0.097874708,0.014201515,0.066849937,-0.024098377,-0.051031548,-0.000535834,-0.066655707,-0.045465789,-0.06702801,-0.172692036,-0.002285728,-0.067280001,0.08427998,0.065525517,0.113547467,0.018097009,0.092204894,0.056705285,-0.018868316,0.077551554,0.101268916,-0.023417143,0.075912595,0.1012697,-0.145191273,0.074804313,0.006334403,-0.202698771,0.055251536,0.065117759,-0.010818736,0.078180925,0.069981182,-0.011364867,0.075568021,0.069992273
18,0.015881886,-0.034790034,-0.125441633,0.004789814,-0.048667328,-0.170935373,-0.006302258,-0.062544622,-0.216429113,0.019470882,-0.058776725,-0.170343507,-0.033739337,-0.134259034,-0.223219302,-0.038147917,-0.167943424,-0.171518826,-0.023512085,-0.007098878,-0.021811534,-0.040408738,0.069803514,-0.009073816,-0.037352941,0.089429302,0.021256653,-0.001579352,0.072004536,-0.02460666,0.03668441,-0.013078086,0.084608144,0.05315143,0.025232762,0.05538983,0.012255564,-0.04509191,-0.016069709,0.043328485,-0.019374583,-0.018641189,-0.068596856,0.015070921,0.084855855,0.054216476,-0.001595971,0.033400891,0.09525055,0.078938318,0.045235996,0.09908013,0.073355962,0.016704593,-0.093043583,0.320519104,0.026506805,0.010129459,0.02140807,0.032271306,0.069057981,0.063891173,-0.008377921,0.064391338,0.053137401,0.012179502
19,0.083210676,0.165690513,0.095018824,0.11803842,0.240104382,0.137275388,0.152866163,0.314518252,0.179531953,0.165205798,0.370466969,0.211143274,0.033323359,0.148070098,-0.018636493,-0.290945012,-0.31190743,-0.448636642,0.104669805,0.133243824,-0.074970153,-0.031395264,0.141233318,-0.119678083,-0.067674708,0.09504736,-0.040815347,-0.053429663,0.09890812,-0.023586068,0.060750451,0.178199416,-0.119838554,-0.022514202,0.078908387,0.003002346,-0.059512023,0.115530443,-0.054691135,0.068399049,0.094146371,-0.106609689,-0.035802319,0.055819588,-0.078027379,0.120892889,0.087738457,-0.098687761,0.092662238,0.086685989,-0.07865338,0.087706675,0.085009047,-0.078645574,-0.027414715,0.344133803,-0.015390855,-0.02567259,-0.009672902,-0.087568573,0.11760583,0.090445123,-0.057141985,0.11837035,0.087949835,-0.057144288
