Dataset,Precision,Recall,F1 Score
converted,0.484149855907781,0.4386422976501306,0.4602739726027397
normalized,0.484149855907781,0.4386422976501306,0.4602739726027397
features,0.45646437994722955,0.4516971279373368,0.4540682414698163
selected_converted,0.42118863049095606,0.4255874673629243,0.42337662337662335
selected_features,0.41711229946524064,0.4073107049608355,0.41215323645970936
