Model,Test accuracy,CV accuracy
SVM baseline,0.8698060941828255,0.8595238095238095
SVM tuned,0.8725761772853186,0.8642857142857144
SVM tuned + SelectKBest,0.8310249307479224,0.8440476190476189
SVM tuned + PCA,0.8587257617728532,0.8678571428571429
SGD,0.8337950138504155,0.8357142857142857
Random Forest,0.8559556786703602,0.855952380952381
MLP,0.850415512465374,0.8654761904761905
